a1,ci,|36417493.000000|87579694.000000
a1,n1,|901343.000000|901343.000000
ci,mc,|80274241.000000|93695927.000000
ci,n1,|36244344.000000|36233896.000000
ci,rt,|2728943.000000|1087017.000000
ci,t,|36244344.000000|36233896.000000
cn,mc,|1153798.000000|944850.000000
mc,t,|2609129.000000|2609129.000000
a1,ci,mc,|87239860.000000|94170683.000000
a1,ci,n1,|36417493.000000|36417493.000000
a1,ci,rt,|2343724.000000|1092525.000000
a1,ci,t,|36417493.000000|36417493.000000
ci,cn,mc,|32289229.000000|29069894.000000
ci,mc,n1,|80274241.000000|80274241.000000
ci,mc,rt,|4450853.000000|2408227.000000
ci,mc,t,|80274241.000000|80274241.000000
ci,n1,rt,|2728943.000000|1087330.000000
ci,n1,t,|36244344.000000|36244344.000000
ci,rt,t,|2728943.000000|2728943.000000
cn,mc,t,|1153798.000000|1153798.000000
a1,ci,cn,mc,|41307596.000000|31592370.000000
a1,ci,mc,n1,|87239860.000000|87239860.000000
a1,ci,mc,rt,|4961427.000000|2617196.000000
a1,ci,mc,t,|87239860.000000|87239860.000000
a1,ci,n1,rt,|2343724.000000|1092525.000000
a1,ci,n1,t,|36417493.000000|36417493.000000
a1,ci,rt,t,|2343724.000000|2343724.000000
ci,cn,mc,n1,|32289229.000000|32289229.000000
ci,cn,mc,rt,|1970658.000000|968677.000000
ci,cn,mc,t,|32289229.000000|32289229.000000
ci,mc,n1,rt,|4450853.000000|2408227.000000
ci,mc,n1,t,|80274241.000000|80274241.000000
ci,mc,rt,t,|4450853.000000|4450853.000000
ci,n1,rt,t,|2728943.000000|2728943.000000
a1,ci,cn,mc,n1,|41307596.000000|41307596.000000
a1,ci,cn,mc,rt,|2487611.000000|1239228.000000
a1,ci,cn,mc,t,|41307596.000000|41307596.000000
a1,ci,mc,n1,rt,|4961427.000000|2617196.000000
a1,ci,mc,n1,t,|87239860.000000|87239860.000000
a1,ci,mc,rt,t,|4961427.000000|4961427.000000
a1,ci,n1,rt,t,|2343724.000000|2343724.000000
ci,cn,mc,n1,rt,|1970658.000000|968677.000000
ci,cn,mc,n1,t,|32289229.000000|32289229.000000
ci,cn,mc,rt,t,|1970658.000000|1970658.000000
ci,mc,n1,rt,t,|4450853.000000|4450853.000000
a1,ci,cn,mc,n1,rt,|2487611.000000|1239228.000000
a1,ci,cn,mc,n1,t,|41307596.000000|41307596.000000
a1,ci,cn,mc,rt,t,|2487611.000000|2487611.000000
a1,ci,mc,n1,rt,t,|4961427.000000|4961427.000000
ci,cn,mc,n1,rt,t,|1970658.000000|1970658.000000
a1,ci,cn,mc,n1,rt,t,|2487611.000000|2487611.000000
